	i	j	t
0	163	213	2378
1	1	276	2712
2	69	104	54
3	21	60	4832
4	4	162	4563
5	4	16	1833
6	5	70	6624
7	142	211	3482
8	101	111	6307
9	64	191	2766
10	42	191	3173
11	55	257	2044
12	115	172	2760
13	94	224	5961
14	20	257	3012
15	132	135	6261
16	118	154	2304
17	37	147	5303
18	18	92	4893
19	42	64	653
20	66	76	155
21	25	66	3447
22	195	197	1943
23	105	179	1240
24	155	211	1155
25	78	252	4389
26	85	252	7366
27	77	267	3099
28	310	312	4250
29	136	212	3240
30	300	301	2293
31	174	287	544
32	86	130	452
33	308	318	4050
34	46	101	2933
35	163	213	5093
36	1	276	635
37	69	104	2021
38	290	304	643
39	27	50	6079
40	4	162	4862
41	4	16	5945
42	21	241	30
43	114	268	2228
44	5	70	4279
45	64	191	3747
46	42	191	5930
47	114	185	2912
48	115	172	7111
49	94	224	130
50	76	193	2025
51	37	147	6169
52	21	60	1
53	18	92	2876
54	42	64	5842
55	195	197	3530
56	105	179	5806
57	155	211	529
58	308	318	2337
59	197	210	1613
60	78	252	5468
61	85	252	5619
62	305	313	1458
63	21	76	6543
64	198	202	7063
65	77	267	1740
66	310	312	632
67	300	301	6387
68	174	287	6256
69	20	257	5068
70	98	135	1059
71	46	101	1172
72	163	213	3423
73	1	276	6911
74	1	21	6198
75	69	104	162
76	2	264	5575
77	27	50	5843
78	4	162	3385
79	4	16	3469
80	21	241	3531
81	5	70	518
82	142	211	1795
83	64	191	2070
84	42	191	4826
85	55	257	4813
86	115	172	1208
87	94	224	3471
88	130	264	3482
89	127	264	2280
90	76	193	4832
91	37	147	2027
92	21	60	1633
93	18	92	775
94	42	64	1011
95	225	259	2014
96	105	179	172
97	29	279	914
98	155	211	5746
99	114	185	6689
100	197	210	1416
101	21	76	6153
102	78	252	5306
103	85	252	4668
104	310	312	5977
105	78	85	5419
106	136	212	6104
107	300	301	6334
108	174	287	2116
109	20	257	1744
110	308	318	192
111	98	135	2524
112	46	101	5989
113	163	213	2313
114	1	276	3564
115	1	21	6249
116	69	104	4557
117	27	50	2431
118	4	162	5421
119	21	241	3755
120	5	70	4335
121	142	155	686
122	142	211	417
123	105	179	6038
124	55	257	1245
125	115	172	6286
126	20	257	5116
127	58	86	6831
128	42	64	2392
129	42	191	5224
130	118	154	1311
131	37	147	1406
132	21	60	6428
133	16	162	5635
134	18	92	6187
135	64	191	2378
136	29	279	1016
137	155	211	4787
138	43	132	6141
139	21	76	4608
140	78	252	4021
141	85	252	6907
142	77	267	2387
143	310	312	3990
144	78	85	2043
145	127	264	6650
146	300	301	5842
147	174	287	4896
148	129	135	436
149	136	212	1503
150	98	135	6358
151	308	318	2512
152	40	47	1851
153	163	213	1295
154	1	276	1469
155	69	104	2906
156	27	50	1491
157	21	60	1055
158	21	241	517
159	4	162	3606
160	4	16	1127
161	5	70	6427
162	112	205	4330
163	64	191	4861
164	42	191	5561
165	55	257	4446
166	115	172	797
167	210	224	6780
168	94	224	473
169	43	132	4673
170	42	64	2593
171	118	154	765
172	37	147	6576
173	18	92	2896
174	14	260	3780
175	197	226	254
176	94	226	6067
177	105	179	5261
178	155	211	4021
179	114	185	2100
180	174	287	3891
181	78	252	6133
182	85	252	5075
183	77	267	6192
184	310	312	5160
185	78	85	155
186	127	264	6142
187	300	301	2064
188	20	257	5484
189	136	212	5848
190	98	135	6383
191	308	318	105
192	40	47	2081
193	163	213	2012
194	1	240	1042
195	1	276	4341
196	69	104	2053
197	27	50	2499
198	186	212	3222
199	4	162	1327
200	4	16	4829
201	89	268	2660
202	5	70	7368
203	101	111	3278
204	112	205	6891
205	105	179	2422
206	55	257	3412
207	115	172	2792
208	58	86	2327
209	76	193	2414
210	42	64	2824
211	42	191	160
212	21	60	1354
213	16	162	5244
214	18	92	6594
215	64	191	279
216	155	211	1996
217	43	132	329
218	78	252	2432
219	85	252	2541
220	20	257	179
221	310	312	6355
222	127	264	4537
223	300	301	52
224	174	287	2581
225	98	135	2667
226	308	318	28
227	40	47	3042
228	136	212	2032
229	163	213	1984
230	1	240	6054
231	1	276	3103
232	69	104	2748
233	27	50	4789
234	21	60	2677
235	21	241	2784
236	136	186	191
237	186	212	6440
238	4	162	6435
239	4	16	2905
240	241	263	1611
241	89	268	6624
242	5	70	217
243	101	111	1472
244	64	191	4467
245	42	191	3255
246	55	257	118
247	115	172	3750
248	210	224	1173
249	94	224	3511
250	58	86	1222
251	76	193	2067
252	321	325	4762
253	42	64	5759
254	118	154	3026
255	37	147	335
256	18	92	2813
257	195	197	6267
258	195	210	4217
259	105	179	747
260	155	211	2662
261	43	132	2465
262	43	179	2859
263	197	210	5806
264	78	252	6626
265	85	252	2732
266	310	312	732
267	127	264	6206
268	300	301	3463
269	174	287	1006
270	129	135	2390
271	20	257	5782
272	308	318	2850
273	40	47	4571
274	136	212	2901
275	163	213	1179
276	1	240	2301
277	1	276	6157
278	69	104	3288
279	27	50	5687
280	136	186	2037
281	186	212	858
282	105	179	1955
283	21	241	2737
284	89	268	7005
285	5	70	5176
286	64	191	2082
287	42	191	1482
288	114	185	1195
289	115	172	1959
290	94	224	5174
291	58	86	1168
292	76	193	6682
293	42	64	7172
294	118	154	3687
295	37	147	4685
296	294	318	1933
297	18	92	1347
298	94	210	6448
299	20	257	2418
300	21	263	3442
301	155	211	2529
302	308	318	1119
303	197	210	186
304	72	98	3179
305	78	252	1113
306	85	252	6089
307	136	212	5862
308	127	264	5085
309	300	301	4623
310	174	287	6710
311	129	135	4661
312	98	135	750
313	43	132	677
314	40	47	2295
315	43	179	527
316	46	135	2251
317	163	213	1549
318	1	240	1359
319	1	276	934
320	69	104	4707
321	27	50	2770
322	186	212	4354
323	72	105	1499
324	105	179	2135
325	21	241	3202
326	89	268	5894
327	5	70	1449
328	112	205	1287
329	43	179	2914
330	115	172	1214
331	58	86	2164
332	76	193	421
333	321	325	1314
334	42	64	209
335	42	191	1968
336	118	154	4857
337	37	147	2879
338	16	162	5007
339	18	92	4474
340	64	191	17
341	20	257	5578
342	40	47	462
343	29	279	2207
344	155	211	5580
345	308	318	1624
346	75	95	4632
347	72	98	2771
348	78	252	986
349	85	252	1092
350	127	264	278
351	300	301	3515
352	174	287	6429
353	129	135	1307
354	98	135	1298
355	294	318	2330
356	43	132	144
357	94	210	1104
358	136	212	2440
359	1	240	2857
360	1	276	1058
361	69	104	4557
362	27	50	5766
363	140	275	4172
364	186	212	2976
365	105	179	6468
366	89	268	527
367	5	273	4542
368	5	70	1100
369	39	109	4408
370	20	257	2848
371	112	205	1264
372	64	191	3442
373	42	191	3088
374	115	172	2921
375	58	86	253
376	76	193	4532
377	321	325	1309
378	118	154	1534
379	37	147	6139
380	135	147	7242
381	18	92	6409
382	42	64	6072
383	195	197	6050
384	195	234	562
385	21	60	6476
386	29	279	4627
387	155	211	6523
388	43	132	1970
389	43	179	1426
390	197	234	6661
391	72	98	476
392	78	252	5527
393	85	252	575
394	77	267	3028
395	310	312	1222
396	300	301	1421
397	174	287	2187
398	40	47	2270
399	308	318	406
400	1	240	3211
401	1	276	3187
402	69	104	3477
403	27	50	7105
404	186	212	5447
405	105	179	1910
406	21	241	6096
407	89	268	1899
408	5	70	6519
409	173	190	6012
410	112	205	196
411	64	191	220
412	42	191	6079
413	100	137	2915
414	115	172	1510
415	210	224	5265
416	94	224	759
417	224	226	2445
418	58	86	6332
419	76	193	974
420	321	325	6210
421	42	64	2015
422	72	147	2128
423	37	147	3960
424	135	147	6098
425	21	60	6244
426	18	92	3632
427	195	197	625
428	195	210	3593
429	195	226	2863
430	94	226	2664
431	29	279	7239
432	155	211	3640
433	43	132	1890
434	43	179	5979
435	72	98	1384
436	20	257	2242
437	78	252	4523
438	85	252	597
439	310	312	6766
440	127	264	3855
441	300	301	5285
442	174	287	4510
443	308	318	2084
444	40	47	4519
445	1	240	3550
446	1	276	271
447	69	104	1048
448	27	50	5625
449	136	186	1117
450	43	105	1675
451	105	179	6401
452	21	241	4495
453	89	268	3439
454	5	70	4050
455	101	111	40
456	112	205	3631
457	64	191	1253
458	42	191	5453
459	55	257	5930
460	115	172	2417
461	94	224	3400
462	224	226	6621
463	20	257	4574
464	58	86	6306
465	76	193	6119
466	321	325	6560
467	42	64	4428
468	72	147	5878
469	37	147	931
470	135	147	5978
471	21	60	565
472	18	92	1677
473	195	197	3786
474	195	226	3999
475	197	226	2286
476	94	226	2474
477	21	76	4572
478	155	211	2919
479	43	132	5455
480	43	179	6295
481	197	210	2895
482	72	98	135
483	78	252	948
484	85	252	410
485	77	267	768
486	310	312	2249
487	78	85	6437
488	136	212	3500
489	127	264	4202
490	300	301	3010
491	174	287	6437
492	94	210	377
493	308	318	1150
494	40	47	5657
495	46	135	1323
496	44	46	3556
497	1	240	2005
498	1	276	2399
499	69	104	4215
500	2	86	4316
501	27	50	494
502	140	275	2910
503	43	105	938
504	105	179	5833
505	21	241	1823
506	89	268	4975
507	5	70	3635
508	101	111	3287
509	112	205	5316
510	64	191	4830
511	42	191	2707
512	55	257	4324
513	115	172	5230
514	94	224	1864
515	195	224	6200
516	20	257	2851
517	58	86	1953
518	76	193	2092
519	42	64	5032
520	14	260	782
521	37	147	1966
522	135	147	3827
523	155	211	2907
524	18	92	2902
525	94	210	4498
526	195	197	1782
527	21	60	2739
528	21	76	911
529	43	132	2385
530	43	179	2105
531	294	318	6472
532	91	158	1660
533	114	185	900
534	197	210	1137
535	72	98	3857
536	78	252	4110
537	85	252	2378
538	77	267	4222
539	127	264	5590
540	300	301	1481
541	174	287	2248
542	37	46	1503
543	40	47	3668
544	98	132	142
545	308	318	1785
546	44	46	551
547	1	276	4892
548	69	104	6138
549	27	50	5549
550	193	216	7007
551	21	241	2629
552	5	70	4280
553	112	205	857
554	64	191	6296
555	42	191	909
556	55	257	2347
557	75	95	3829
558	94	224	5963
559	20	257	1188
560	98	132	4481
561	43	132	24
562	58	86	6052
563	321	325	1731
564	42	64	7049
565	14	105	6352
566	37	147	1296
567	294	318	715
568	18	92	2156
569	105	179	1545
570	292	310	5243
571	155	211	1053
572	37	43	4782
573	78	252	6220
574	85	252	6166
575	166	251	1161
576	77	267	405
577	310	312	1274
578	127	264	1274
579	300	301	922
580	174	287	6034
581	98	129	3271
582	308	318	5259
583	40	47	1471
584	263	267	4596
585	44	46	2487
586	1	276	6033
587	69	104	6256
588	2	264	5765
589	27	50	1989
590	94	210	1149
591	94	224	2015
592	216	240	3416
593	73	216	2378
594	55	257	533
595	114	268	4460
596	5	70	4987
597	173	190	6124
598	64	191	2659
599	42	191	6131
600	195	224	2691
601	224	226	2215
602	127	264	2477
603	58	86	2682
604	29	221	2667
605	321	325	574
606	14	105	3101
607	46	147	3497
608	37	147	1215
609	44	147	1045
610	21	60	4167
611	18	92	3566
612	42	64	1308
613	255	278	1049
614	25	66	1791
615	292	310	1450
616	210	226	6441
617	195	226	7249
618	195	197	4028
619	155	211	4725
620	75	95	6345
621	197	210	437
622	296	317	571
623	21	241	562
624	72	73	814
625	77	263	1285
626	77	267	890
627	310	318	6118
628	78	252	316
629	78	85	3465
630	300	301	1662
631	174	287	214
632	129	132	1839
633	129	135	4645
634	85	252	6122
635	44	267	3013
636	37	46	2068
637	132	135	6653
638	308	318	4531
639	40	47	774
640	44	46	1729
641	136	212	1587
642	46	101	2948
643	1	241	920
644	1	263	4711
645	1	218	1564
646	4	16	2094
647	5	70	2162
648	64	191	36
649	42	191	2316
650	14	105	2392
651	16	162	4485
652	18	92	5452
653	183	225	5261
654	20	257	384
655	21	60	2779
656	21	241	315
657	21	98	394
658	21	76	182
659	25	66	4780
660	27	50	4340
661	29	221	962
662	179	199	1052
663	37	147	948
664	37	73	6126
665	39	98	391
666	39	43	2604
667	40	47	1630
668	208	216	1983
669	42	64	1773
670	294	318	3195
671	43	44	1117
672	155	211	3975
673	136	212	303
674	216	218	4208
675	73	216	583
676	55	257	1372
677	58	86	2092
678	60	76	5600
679	60	98	1997
680	69	104	4829
681	296	317	6882
682	73	267	1847
683	75	145	1864
684	75	95	3305
685	76	77	2853
686	76	260	2771
687	77	263	5283
688	78	252	1321
689	300	301	4168
690	85	252	5516
691	101	111	4229
692	105	260	3153
693	105	179	6476
694	111	158	1016
695	308	318	6196
696	310	318	3860
697	127	264	6246
698	129	132	1457
699	129	135	4249
700	132	260	6851
701	174	287	5309
702	1	76	2151
703	1	263	4777
704	69	104	398
705	50	91	2010
706	27	50	1084
707	50	101	7250
708	105	179	5778
709	5	70	5287
710	142	211	7097
711	75	95	6259
712	111	158	882
713	101	111	592
714	4	16	2671
715	64	191	4221
716	42	191	5757
717	55	257	5894
718	115	172	1995
719	20	257	2330
720	58	86	1043
721	76	193	2863
722	29	221	2312
723	130	184	2897
724	42	64	1024
725	197	234	4545
726	37	147	5652
727	60	77	3240
728	16	162	3417
729	16	120	1295
730	18	92	6861
731	208	216	2664
732	40	47	1514
733	155	211	4716
734	43	109	2035
735	39	43	2584
736	43	179	788
737	78	252	4431
738	85	252	3009
739	44	76	5236
740	77	263	275
741	310	318	2031
742	127	264	20
743	300	301	1307
744	174	287	2885
745	129	135	389
746	109	263	835
747	308	318	541
748	294	318	1855
749	44	158	1964
750	136	212	6578
751	69	104	51
752	60	179	1988
753	43	179	6683
754	73	216	2405
755	98	241	4666
756	21	241	1932
757	5	70	3269
758	101	111	3766
759	64	191	6849
760	42	191	718
761	115	172	2924
762	94	224	2580
763	14	260	1687
764	37	147	5147
765	60	98	2044
766	16	120	6098
767	18	92	2273
768	42	64	4206
769	195	197	5534
770	155	211	4580
771	308	318	1560
772	78	252	383
773	85	252	3254
774	20	257	2840
775	27	91	3207
776	166	251	3239
777	43	199	6400
778	77	263	4857
779	300	301	5436
780	294	318	2882
781	174	287	4699
782	129	135	946
783	130	184	1070
784	21	98	1052
785	40	47	2003
786	1	98	5435
787	1	43	916
788	69	104	2832
789	50	240	598
790	50	276	3871
791	27	50	3023
792	4	16	287
793	199	240	2550
794	135	240	1979
795	106	112	6458
796	5	70	453
797	111	158	5227
798	64	191	2941
799	42	191	5774
800	75	145	29
801	94	224	2505
802	20	257	5604
803	65	221	3517
804	130	184	5892
805	14	105	6230
806	14	260	6426
807	37	147	3471
808	60	91	7214
809	16	46	6328
810	18	92	4884
811	42	64	6963
812	305	313	69
813	305	325	6266
814	155	211	604
815	43	199	3900
816	43	260	2971
817	308	318	1294
818	78	252	1305
819	85	252	5707
820	166	251	2901
821	21	241	4788
822	21	98	2596
823	77	263	3132
824	300	301	5510
825	174	287	1858
826	98	241	1290
827	40	47	6574
828	136	212	3169
829	1	21	5084
830	69	104	5808
831	171	238	4499
832	70	140	4540
833	186	212	782
834	105	260	1845
835	43	105	5138
836	14	105	6915
837	241	260	2193
838	5	70	4366
839	111	158	6150
840	64	191	6873
841	42	191	1995
842	55	257	6878
843	294	318	5473
844	224	234	1624
845	210	224	4895
846	94	224	143
847	14	43	3152
848	46	60	2298
849	4	16	1312
850	16	76	4674
851	18	92	3522
852	42	64	837
853	183	225	4282
854	197	226	6515
855	94	226	5811
856	155	211	424
857	308	318	1627
858	197	210	2947
859	78	252	1724
860	85	252	1568
861	20	257	1311
862	37	73	416
863	166	251	4049
864	300	301	6171
865	174	287	6530
866	94	234	2258
867	91	135	2243
868	37	44	2297
869	43	260	2168
870	40	47	790
871	94	210	6500
872	136	212	2726
873	1	179	1350
874	69	104	7158
875	171	238	2724
876	70	140	4737
877	208	216	6159
878	37	216	2577
879	73	216	3265
880	46	240	1164
881	60	240	4553
882	109	241	2926
883	43	241	1372
884	241	260	3419
885	114	268	3365
886	5	70	641
887	43	109	1820
888	109	260	3652
889	64	191	2048
890	42	191	5661
891	40	47	4498
892	130	184	6366
893	46	60	1434
894	16	46	2902
895	16	76	3214
896	18	92	1576
897	42	64	2979
898	183	225	3122
899	43	105	1575
900	121	203	6600
901	142	155	6039
902	155	211	5471
903	43	260	685
904	308	318	5327
905	27	158	341
